from,to,points,type
Austria,Belgium,5,Jury
Iceland,Belgium,3,Jury
Czech Republic,Belgium,2,Jury
Ireland,Belgium,12,Jury
Georgia,Belgium,10,Jury
Switzerland,Belgium,10,Jury
Denmark,Belgium,8,Jury
Armenia,Belgium,4,Jury
Bulgaria,Belgium,10,Jury
Netherlands,Belgium,4,Jury
Israel,Belgium,6,Jury
Belarus,Belgium,4,Jury
Germany,Belgium,5,Jury
Norway,Belgium,5,Jury
Australia,Belgium,12,Jury
Lithuania,Belgium,5,Jury
Macedonia,Belgium,4,Jury
Ukraine,Belgium,10,Jury
Slovenia,Belgium,8,Jury
Montenegro,Belgium,3,Jury
Austria,Czech Republic,4,Jury
Iceland,Czech Republic,5,Jury
Ireland,Czech Republic,2,Jury
Bosnia and Herzegovina,Czech Republic,6,Jury
Finland,Czech Republic,3,Jury
Armenia,Czech Republic,1,Jury
Belgium,Czech Republic,1,Jury
Croatia,Czech Republic,10,Jury
Poland,Czech Republic,4,Jury
Hungary,Czech Republic,2,Jury
Sweden,Czech Republic,3,Jury
Iceland,Netherlands,12,Jury
San Marino,Netherlands,4,Jury
Czech Republic,Netherlands,7,Jury
Ireland,Netherlands,8,Jury
Spain,Netherlands,3,Jury
Finland,Netherlands,10,Jury
Switzerland,Netherlands,5,Jury
Denmark,Netherlands,7,Jury
France,Netherlands,7,Jury
Bulgaria,Netherlands,2,Jury
Latvia,Netherlands,3,Jury
Germany,Netherlands,4,Jury
Norway,Netherlands,6,Jury
Australia,Netherlands,3,Jury
Belgium,Netherlands,4,Jury
Serbia,Netherlands,5,Jury
Macedonia,Netherlands,2,Jury
Estonia,Netherlands,6,Jury
Italy,Netherlands,4,Jury
Slovenia,Netherlands,1,Jury
Hungary,Netherlands,6,Jury
Sweden,Netherlands,5,Jury
Bosnia and Herzegovina,Azerbaijan,1,Jury
Spain,Azerbaijan,2,Jury
Cyprus,Azerbaijan,2,Jury
Netherlands,Azerbaijan,1,Jury
Belarus,Azerbaijan,2,Jury
Russia,Azerbaijan,10,Jury
Greece,Azerbaijan,1,Jury
Macedonia,Azerbaijan,1,Jury
Ukraine,Azerbaijan,7,Jury
Hungary,Azerbaijan,7,Jury
Sweden,Azerbaijan,10,Jury
Azerbaijan,Hungary,4,Jury
San Marino,Hungary,2,Jury
Czech Republic,Hungary,10,Jury
Spain,Hungary,10,Jury
Cyprus,Hungary,4,Jury
Russia,Hungary,1,Jury
Croatia,Hungary,5,Jury
Greece,Hungary,3,Jury
Albania,Hungary,1,Jury
Ukraine,Hungary,2,Jury
Slovenia,Hungary,3,Jury
Montenegro,Hungary,7,Jury
San Marino,Italy,10,Jury
Ireland,Italy,6,Jury
Malta,Italy,8,Jury
Spain,Italy,5,Jury
Finland,Italy,2,Jury
Switzerland,Italy,2,Jury
France,Italy,12,Jury
Cyprus,Italy,3,Jury
Netherlands,Italy,6,Jury
Germany,Italy,3,Jury
Norway,Italy,12,Jury
Belgium,Italy,10,Jury
Croatia,Italy,3,Jury
Albania,Italy,8,Jury
Azerbaijan,Israel,3,Jury
Ireland,Israel,4,Jury
Georgia,Israel,3,Jury
Malta,Israel,1,Jury
Spain,Israel,1,Jury
Finland,Israel,7,Jury
Switzerland,Israel,8,Jury
Denmark,Israel,2,Jury
Cyprus,Israel,5,Jury
Netherlands,Israel,7,Jury
Latvia,Israel,2,Jury
Germany,Israel,12,Jury
Norway,Israel,3,Jury
Australia,Israel,10,Jury
Belgium,Israel,2,Jury
United Kingdom,Israel,3,Jury
Croatia,Israel,7,Jury
Lithuania,Israel,6,Jury
Serbia,Israel,7,Jury
Macedonia,Israel,5,Jury
Albania,Israel,3,Jury
Ukraine,Israel,6,Jury
Italy,Israel,8,Jury
Poland,Israel,7,Jury
Slovenia,Israel,2,Jury
Azerbaijan,Bulgaria,8,Jury
Ireland,Bulgaria,10,Jury
Bosnia and Herzegovina,Bulgaria,3,Jury
Malta,Bulgaria,10,Jury
Switzerland,Bulgaria,1,Jury
Denmark,Bulgaria,6,Jury
France,Bulgaria,10,Jury
Armenia,Bulgaria,7,Jury
Latvia,Bulgaria,1,Jury
Israel,Bulgaria,7,Jury
Belarus,Bulgaria,1,Jury
Norway,Bulgaria,8,Jury
Australia,Bulgaria,8,Jury
Belgium,Bulgaria,6,Jury
United Kingdom,Bulgaria,5,Jury
Lithuania,Bulgaria,2,Jury
Serbia,Bulgaria,4,Jury
Macedonia,Bulgaria,10,Jury
Albania,Bulgaria,4,Jury
Ukraine,Bulgaria,1,Jury
Poland,Bulgaria,3,Jury
Slovenia,Bulgaria,10,Jury
Montenegro,Bulgaria,2,Jury
Austria,Sweden,8,Jury
Iceland,Sweden,6,Jury
Czech Republic,Sweden,12,Jury
Ireland,Sweden,5,Jury
Georgia,Sweden,6,Jury
Finland,Sweden,12,Jury
Denmark,Sweden,4,Jury
France,Sweden,5,Jury
Moldova,Sweden,6,Jury
Netherlands,Sweden,10,Jury
Latvia,Sweden,8,Jury
Belarus,Sweden,8,Jury
Germany,Sweden,10,Jury
Estonia,Sweden,12,Jury
Ukraine,Sweden,4,Jury
Italy,Sweden,2,Jury
Hungary,Sweden,4,Jury
Georgia,Germany,1,Jury
Austria,France,7,Jury
Iceland,France,2,Jury
Czech Republic,France,5,Jury
Ireland,France,3,Jury
Georgia,France,4,Jury
Bosnia and Herzegovina,France,7,Jury
Malta,France,6,Jury
Spain,France,7,Jury
Finland,France,1,Jury
Armenia,France,12,Jury
Cyprus,France,7,Jury
Netherlands,France,5,Jury
Israel,France,8,Jury
Russia,France,7,Jury
Australia,France,6,Jury
Belgium,France,8,Jury
United Kingdom,France,6,Jury
Croatia,France,8,Jury
Greece,France,6,Jury
Lithuania,France,1,Jury
Albania,France,10,Jury
Estonia,France,1,Jury
Italy,France,7,Jury
Poland,France,1,Jury
Montenegro,France,5,Jury
Sweden,France,8,Jury
Azerbaijan,Poland,2,Jury
Norway,Poland,1,Jury
Lithuania,Poland,3,Jury
Montenegro,Poland,1,Jury
Austria,Australia,12,Jury
Iceland,Australia,10,Jury
Azerbaijan,Australia,7,Jury
Georgia,Australia,8,Jury
Bosnia and Herzegovina,Australia,10,Jury
Malta,Australia,3,Jury
Spain,Australia,8,Jury
Finland,Australia,8,Jury
Switzerland,Australia,12,Jury
Denmark,Australia,10,Jury
France,Australia,6,Jury
Moldova,Australia,10,Jury
Armenia,Australia,5,Jury
Cyprus,Australia,10,Jury
Bulgaria,Australia,8,Jury
Netherlands,Australia,12,Jury
Latvia,Australia,5,Jury
Israel,Australia,10,Jury
Belarus,Australia,6,Jury
Germany,Australia,6,Jury
Russia,Australia,2,Jury
Norway,Australia,10,Jury
Belgium,Australia,12,Jury
United Kingdom,Australia,8,Jury
Croatia,Australia,12,Jury
Greece,Australia,7,Jury
Lithuania,Australia,12,Jury
Serbia,Australia,6,Jury
Macedonia,Australia,8,Jury
Albania,Australia,12,Jury
Estonia,Australia,10,Jury
Ukraine,Australia,5,Jury
Italy,Australia,6,Jury
Poland,Australia,10,Jury
Slovenia,Australia,6,Jury
Hungary,Australia,12,Jury
Montenegro,Australia,4,Jury
Sweden,Australia,12,Jury
San Marino,Cyprus,5,Jury
Malta,Cyprus,5,Jury
Moldova,Cyprus,2,Jury
Armenia,Cyprus,6,Jury
Russia,Cyprus,4,Jury
United Kingdom,Cyprus,7,Jury
Croatia,Cyprus,1,Jury
Greece,Cyprus,8,Jury
Estonia,Cyprus,4,Jury
Italy,Cyprus,1,Jury
Bosnia and Herzegovina,Serbia,8,Jury
Bulgaria,Serbia,5,Jury
United Kingdom,Serbia,2,Jury
Croatia,Serbia,2,Jury
Macedonia,Serbia,7,Jury
Slovenia,Serbia,5,Jury
Montenegro,Serbia,6,Jury
Austria,Lithuania,1,Jury
Azerbaijan,Lithuania,5,Jury
Czech Republic,Lithuania,3,Jury
Georgia,Lithuania,5,Jury
Finland,Lithuania,6,Jury
Switzerland,Lithuania,7,Jury
Denmark,Lithuania,5,Jury
Moldova,Lithuania,4,Jury
Bulgaria,Lithuania,1,Jury
Latvia,Lithuania,10,Jury
Israel,Lithuania,1,Jury
Belarus,Lithuania,10,Jury
Germany,Lithuania,1,Jury
Norway,Lithuania,2,Jury
Australia,Lithuania,7,Jury
United Kingdom,Lithuania,4,Jury
Serbia,Lithuania,8,Jury
Estonia,Lithuania,5,Jury
Ukraine,Lithuania,12,Jury
Poland,Lithuania,2,Jury
Hungary,Lithuania,3,Jury
Sweden,Lithuania,2,Jury
Austria,Croatia,6,Jury
Iceland,Croatia,7,Jury
Czech Republic,Croatia,8,Jury
Georgia,Croatia,2,Jury
Bosnia and Herzegovina,Croatia,4,Jury
Moldova,Croatia,1,Jury
Cyprus,Croatia,1,Jury
Israel,Croatia,3,Jury
Australia,Croatia,1,Jury
United Kingdom,Croatia,1,Jury
Macedonia,Croatia,6,Jury
Austria,Russia,3,Jury
Iceland,Russia,8,Jury
Azerbaijan,Russia,12,Jury
San Marino,Russia,7,Jury
Bosnia and Herzegovina,Russia,5,Jury
Malta,Russia,4,Jury
Spain,Russia,4,Jury
France,Russia,1,Jury
Moldova,Russia,7,Jury
Armenia,Russia,2,Jury
Cyprus,Russia,12,Jury
Bulgaria,Russia,6,Jury
Latvia,Russia,7,Jury
Belarus,Russia,12,Jury
Croatia,Russia,6,Jury
Greece,Russia,12,Jury
Serbia,Russia,1,Jury
Albania,Russia,7,Jury
Montenegro,Russia,8,Jury
Sweden,Russia,6,Jury
Azerbaijan,Spain,1,Jury
Malta,Spain,2,Jury
Denmark,Spain,1,Jury
France,Spain,3,Jury
Moldova,Spain,8,Jury
Armenia,Spain,3,Jury
Bulgaria,Spain,4,Jury
Israel,Spain,4,Jury
Norway,Spain,7,Jury
Australia,Spain,5,Jury
Albania,Spain,6,Jury
Italy,Spain,12,Jury
Poland,Spain,5,Jury
Hungary,Spain,5,Jury
Sweden,Spain,1,Jury
Czech Republic,Latvia,1,Jury
Ireland,Latvia,1,Jury
Georgia,Latvia,7,Jury
Switzerland,Latvia,3,Jury
Israel,Latvia,5,Jury
Germany,Latvia,2,Jury
Russia,Latvia,3,Jury
Lithuania,Latvia,7,Jury
Macedonia,Latvia,3,Jury
Estonia,Latvia,8,Jury
Ukraine,Latvia,8,Jury
Poland,Latvia,6,Jury
Slovenia,Latvia,7,Jury
Hungary,Latvia,8,Jury
Azerbaijan,Ukraine,10,Jury
San Marino,Ukraine,12,Jury
Georgia,Ukraine,12,Jury
Bosnia and Herzegovina,Ukraine,12,Jury
Switzerland,Ukraine,6,Jury
Denmark,Ukraine,12,Jury
Moldova,Ukraine,12,Jury
Netherlands,Ukraine,3,Jury
Latvia,Ukraine,12,Jury
Israel,Ukraine,12,Jury
Belarus,Ukraine,7,Jury
Germany,Ukraine,7,Jury
Norway,Ukraine,4,Jury
Australia,Ukraine,2,Jury
Belgium,Ukraine,3,Jury
United Kingdom,Ukraine,10,Jury
Greece,Ukraine,2,Jury
Lithuania,Ukraine,8,Jury
Serbia,Ukraine,12,Jury
Macedonia,Ukraine,12,Jury
Estonia,Ukraine,7,Jury
Italy,Ukraine,10,Jury
Poland,Ukraine,12,Jury
Slovenia,Ukraine,12,Jury
Austria,Malta,10,Jury
Iceland,Malta,4,Jury
Azerbaijan,Malta,6,Jury
San Marino,Malta,3,Jury
Czech Republic,Malta,6,Jury
Spain,Malta,6,Jury
Finland,Malta,5,Jury
France,Malta,4,Jury
Moldova,Malta,3,Jury
Armenia,Malta,8,Jury
Cyprus,Malta,6,Jury
Bulgaria,Malta,7,Jury
Latvia,Malta,4,Jury
Belarus,Malta,5,Jury
Russia,Malta,8,Jury
Greece,Malta,4,Jury
Serbia,Malta,10,Jury
Albania,Malta,2,Jury
Estonia,Malta,2,Jury
Italy,Malta,5,Jury
Hungary,Malta,10,Jury
Montenegro,Malta,12,Jury
Sweden,Malta,7,Jury
San Marino,Georgia,6,Jury
Armenia,Georgia,10,Jury
Bulgaria,Georgia,3,Jury
Germany,Georgia,8,Jury
Russia,Georgia,5,Jury
Belgium,Georgia,7,Jury
United Kingdom,Georgia,12,Jury
Greece,Georgia,5,Jury
Lithuania,Georgia,10,Jury
Ukraine,Georgia,3,Jury
Italy,Georgia,3,Jury
Poland,Georgia,8,Jury
Iceland,Austria,1,Jury
San Marino,Austria,1,Jury
Finland,Austria,4,Jury
Switzerland,Austria,4,Jury
France,Austria,8,Jury
Netherlands,Austria,8,Jury
Belgium,Austria,5,Jury
San Marino,United Kingdom,8,Jury
Czech Republic,United Kingdom,4,Jury
Ireland,United Kingdom,7,Jury
Malta,United Kingdom,12,Jury
Denmark,United Kingdom,3,Jury
Russia,United Kingdom,6,Jury
Australia,United Kingdom,4,Jury
Serbia,United Kingdom,2,Jury
Albania,United Kingdom,5,Jury
Estonia,United Kingdom,3,Jury
Austria,Armenia,2,Jury
Bosnia and Herzegovina,Armenia,2,Jury
Malta,Armenia,7,Jury
Spain,Armenia,12,Jury
France,Armenia,2,Jury
Moldova,Armenia,5,Jury
Cyprus,Armenia,8,Jury
Bulgaria,Armenia,12,Jury
Netherlands,Armenia,2,Jury
Latvia,Armenia,6,Jury
Israel,Armenia,2,Jury
Belarus,Armenia,3,Jury
Russia,Armenia,12,Jury
Croatia,Armenia,4,Jury
Greece,Armenia,10,Jury
Lithuania,Armenia,4,Jury
Serbia,Armenia,3,Jury
Slovenia,Armenia,4,Jury
Hungary,Armenia,1,Jury
Montenegro,Armenia,10,Jury
Sweden,Armenia,4,Jury
Iceland,Belgium,3,Public
Denmark,Belgium,8,Public
France,Belgium,4,Public
Netherlands,Belgium,12,Public
Israel,Belgium,1,Public
Norway,Belgium,2,Public
Australia,Belgium,12,Public
Serbia,Belgium,5,Public
Macedonia,Belgium,4,Public
Austria,Netherlands,6,Public
Iceland,Netherlands,6,Public
Malta,Netherlands,3,Public
Denmark,Netherlands,7,Public
Germany,Netherlands,3,Public
Belgium,Netherlands,10,Public
Hungary,Netherlands,2,Public
Sweden,Netherlands,2,Public
Iceland,Azerbaijan,1,Public
Czech Republic,Azerbaijan,6,Public
Georgia,Azerbaijan,7,Public
Bosnia and Herzegovina,Azerbaijan,8,Public
Malta,Azerbaijan,6,Public
Moldova,Azerbaijan,8,Public
Bulgaria,Azerbaijan,1,Public
Latvia,Azerbaijan,3,Public
Israel,Azerbaijan,2,Public
Belarus,Azerbaijan,8,Public
Russia,Azerbaijan,6,Public
Ukraine,Azerbaijan,10,Public
Montenegro,Azerbaijan,7,Public
Azerbaijan,Hungary,7,Public
San Marino,Hungary,1,Public
Czech Republic,Hungary,3,Public
Georgia,Hungary,2,Public
Bosnia and Herzegovina,Hungary,1,Public
Malta,Hungary,5,Public
Armenia,Hungary,3,Public
Cyprus,Hungary,4,Public
Belarus,Hungary,3,Public
Croatia,Hungary,3,Public
Greece,Hungary,2,Public
Lithuania,Hungary,2,Public
Serbia,Hungary,10,Public
Albania,Hungary,1,Public
Poland,Hungary,6,Public
Montenegro,Hungary,3,Public
Malta,Italy,7,Public
Spain,Italy,3,Public
Switzerland,Italy,7,Public
Germany,Italy,1,Public
Macedonia,Italy,1,Public
Albania,Italy,10,Public
Slovenia,Italy,1,Public
Montenegro,Italy,4,Public
Azerbaijan,Israel,6,Public
France,Israel,3,Public
Bulgaria,Israel,2,Public
Austria,Bulgaria,5,Public
Azerbaijan,Bulgaria,8,Public
San Marino,Bulgaria,3,Public
Czech Republic,Bulgaria,5,Public
Ireland,Bulgaria,5,Public
Georgia,Bulgaria,3,Public
Bosnia and Herzegovina,Bulgaria,2,Public
Malta,Bulgaria,8,Public
Spain,Bulgaria,12,Public
Finland,Bulgaria,4,Public
France,Bulgaria,5,Public
Moldova,Bulgaria,2,Public
Cyprus,Bulgaria,12,Public
Netherlands,Bulgaria,1,Public
Latvia,Bulgaria,1,Public
Israel,Bulgaria,7,Public
Belarus,Bulgaria,4,Public
Germany,Bulgaria,4,Public
Norway,Bulgaria,5,Public
Australia,Bulgaria,10,Public
Belgium,Bulgaria,5,Public
United Kingdom,Bulgaria,8,Public
Croatia,Bulgaria,1,Public
Greece,Bulgaria,7,Public
Serbia,Bulgaria,8,Public
Macedonia,Bulgaria,10,Public
Albania,Bulgaria,8,Public
Ukraine,Bulgaria,2,Public
Italy,Bulgaria,7,Public
Poland,Bulgaria,3,Public
Slovenia,Bulgaria,2,Public
Hungary,Bulgaria,4,Public
Montenegro,Bulgaria,5,Public
Sweden,Bulgaria,4,Public
Austria,Sweden,7,Public
Iceland,Sweden,12,Public
San Marino,Sweden,4,Public
Czech Republic,Sweden,2,Public
Ireland,Sweden,2,Public
Spain,Sweden,1,Public
Finland,Sweden,10,Public
Denmark,Sweden,12,Public
France,Sweden,2,Public
Armenia,Sweden,2,Public
Cyprus,Sweden,1,Public
Bulgaria,Sweden,3,Public
Netherlands,Sweden,2,Public
Latvia,Sweden,7,Public
Belarus,Sweden,2,Public
Germany,Sweden,8,Public
Russia,Sweden,2,Public
Norway,Sweden,7,Public
Belgium,Sweden,1,Public
United Kingdom,Sweden,1,Public
Croatia,Sweden,7,Public
Lithuania,Sweden,7,Public
Serbia,Sweden,1,Public
Albania,Sweden,3,Public
Estonia,Sweden,10,Public
Ukraine,Sweden,1,Public
Poland,Sweden,10,Public
Slovenia,Sweden,5,Public
Hungary,Sweden,7,Public
Austria,Germany,2,Public
Switzerland,Germany,8,Public
Austria,France,1,Public
Iceland,France,5,Public
Azerbaijan,France,4,Public
Bosnia and Herzegovina,France,4,Public
Malta,France,2,Public
Spain,France,10,Public
Finland,France,3,Public
Switzerland,France,3,Public
Denmark,France,2,Public
Moldova,France,6,Public
Armenia,France,7,Public
Cyprus,France,6,Public
Netherlands,France,4,Public
Israel,France,12,Public
Russia,France,3,Public
Norway,France,1,Public
Australia,France,7,Public
Belgium,France,8,Public
Croatia,France,2,Public
Greece,France,4,Public
Lithuania,France,3,Public
Estonia,France,2,Public
Italy,France,5,Public
Hungary,France,1,Public
Montenegro,France,1,Public
Sweden,France,3,Public
Austria,Poland,12,Public
Iceland,Poland,10,Public
Azerbaijan,Poland,3,Public
San Marino,Poland,7,Public
Czech Republic,Poland,7,Public
Ireland,Poland,10,Public
Georgia,Poland,4,Public
Spain,Poland,5,Public
Finland,Poland,5,Public
Switzerland,Poland,5,Public
Denmark,Poland,5,Public
France,Poland,7,Public
Armenia,Poland,1,Public
Cyprus,Poland,2,Public
Bulgaria,Poland,6,Public
Netherlands,Poland,10,Public
Latvia,Poland,5,Public
Israel,Poland,4,Public
Belarus,Poland,6,Public
Germany,Poland,10,Public
Russia,Poland,5,Public
Norway,Poland,10,Public
Belgium,Poland,12,Public
United Kingdom,Poland,10,Public
Croatia,Poland,4,Public
Greece,Poland,3,Public
Lithuania,Poland,6,Public
Macedonia,Poland,2,Public
Albania,Poland,5,Public
Estonia,Poland,1,Public
Ukraine,Poland,8,Public
Italy,Poland,10,Public
Slovenia,Poland,4,Public
Hungary,Poland,8,Public
Sweden,Poland,10,Public
Austria,Australia,3,Public
Iceland,Australia,8,Public
Azerbaijan,Australia,2,Public
San Marino,Australia,5,Public
Czech Republic,Australia,1,Public
Ireland,Australia,6,Public
Georgia,Australia,1,Public
Bosnia and Herzegovina,Australia,3,Public
Malta,Australia,12,Public
Spain,Australia,4,Public
Finland,Australia,7,Public
Switzerland,Australia,1,Public
Denmark,Australia,10,Public
Moldova,Australia,5,Public
Cyprus,Australia,5,Public
Bulgaria,Australia,5,Public
Netherlands,Australia,5,Public
Latvia,Australia,6,Public
Israel,Australia,5,Public
Belarus,Australia,1,Public
Germany,Australia,5,Public
Russia,Australia,4,Public
