Country,Count,Participation,,2024,2025,2026,
Belgium,69,Belgium,,1,1,1,37
France,70,Belgium,,1,1,1,37
Germany,70,France,,1,1,1,35
Italy,53,France,,1,1,1,
Luxembourg,41,Germany,,1,1,1,
Netherlands,67,Germany,,1,1,,
Switzerland,68,Italy,,1,1,1,
Austria,59,Italy,,1,1,1,
Denmark,55,Luxembourg,,1,1,1,
United Kingdom,69,Luxembourg,,1,1,1,
Sweden,66,Netherlands,,1,1,1,
Monaco,24,Netherlands,,,,,
Norway,65,Switzerland,,1,1,1,
Finland,60,Switzerland,,1,1,1,
Spain,65,Austria,,1,1,,
Yugoslavia,27,Belgium,,,,,
Portugal,58,Denmark,,1,1,1,
Ireland,59,France,,1,1,,
Malta,39,Germany,,1,1,1,
Israel,49,Italy,,1,1,1,
Greece,47,Luxembourg,,1,1,1,
Turkey,34,Netherlands,,,,,
Cyprus,43,Switzerland,,1,1,1,
Iceland,38,United Kingdom,,1,1,,
Bosnia and Herzegovina,19,Austria,,,,,
Croatia,32,Belgium,,1,1,1,
Slovenia,31,Denmark,,1,1,,
Estonia,32,France,,1,1,1,
Hungary,17,Germany,,,,,
Lithuania,27,Italy,,1,1,1,
Poland,29,Luxembourg,,1,1,1,
Romania,25,Netherlands,,,,1,
Russia,24,Sweden,,,,,
Slovakia,7,Switzerland,,,,,
The former Yugoslav Republic of Macedonia,22,Austria,,,,,
Latvia,27,Belgium,,1,1,1,
Ukraine,22,Denmark,,1,1,1,
Albania,23,France,,1,1,1,
Andorra,6,Germany,,,,,
Belarus,17,Italy,,,,,
Bulgaria,16,Monaco,,,,1,
Republic of Moldova,21,Netherlands,,1,,1,
Armenia,19,Sweden,,1,1,1,
Czech Republic,15,Switzerland,,1,1,1,
Georgia,19,United Kingdom,,1,1,1,
Montenegro,16,Austria,,,1,1,
Serbia,21,Belgium,,1,1,1,
Azerbaijan,19,Denmark,,1,1,1,
San Marino,17,France,,1,1,1,
Australia,12,Germany,,1,1,1,
,,Italy,,,,,
,,Luxembourg,,,,,
,,Monaco,,,,,
,,Netherlands,,,,,
,,Norway,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,United Kingdom,,,,,
,,Austria,,,,,
,,Belgium,,,,,
,,Denmark,,,,,
,,Finland,,,,,
,,France,,,,,
,,Germany,,,,,
,,Italy,,,,,
,,Luxembourg,,,,,
,,Monaco,,,,,
,,Netherlands,,,,,
,,Norway,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,United Kingdom,,,,,
,,Yugoslavia,,,,,
,,Austria,,,,,
,,Belgium,,,,,
,,Denmark,,,,,
,,Finland,,,,,
,,France,,,,,
,,Germany,,,,,
,,Italy,,,,,
,,Luxembourg,,,,,
,,Monaco,,,,,
,,Netherlands,,,,,
,,Norway,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,United Kingdom,,,,,
,,Yugoslavia,,,,,
,,Austria,,,,,
,,Belgium,,,,,
,,Denmark,,,,,
,,Finland,,,,,
,,France,,,,,
,,Germany,,,,,
,,Italy,,,,,
,,Luxembourg,,,,,
,,Monaco,,,,,
,,Netherlands,,,,,
,,Norway,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,United Kingdom,,,,,
,,Yugoslavia,,,,,
,,Austria,,,,,
,,Belgium,,,,,
,,Denmark,,,,,
,,Finland,,,,,
,,France,,,,,
,,Germany,,,,,
,,Italy,,,,,
,,Luxembourg,,,,,
,,Monaco,,,,,
,,Netherlands,,,,,
,,Norway,,,,,
,,Portugal,,,,,
,,Spain,,,,,
,,Switzerland,,,,,
,,United Kingdom,,,,,
,,Yugoslavia,,,,,
,,Austria,,,,,
,,Belgium,,,,,
,,Denmark,,,,,
,,Finland,,,,,
,,France,,,,,
,,Germany,,,,,
,,Ireland,,,,,
,,Italy,,,,,
,,Luxembourg,,,,,
,,Monaco,,,,,
,,Netherlands,,,,,
,,Norway,,,,,
,,Portugal,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,United Kingdom,,,,,
,,Yugoslavia,,,,,
,,Austria,,,,,
,,Belgium,,,,,
,,Denmark,,,,,
,,Finland,,,,,
,,France,,,,,
,,Germany,,,,,
,,Ireland,,,,,
,,Italy,,,,,
,,Luxembourg,,,,,
,,Monaco,,,,,
,,Netherlands,,,,,
,,Norway,,,,,
,,Portugal,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,United Kingdom,,,,,
,,Yugoslavia,,,,,
,,Austria,,,,,
,,Belgium,,,,,
,,Finland,,,,,
,,France,,,,,
,,Germany,,,,,
,,Ireland,,,,,
,,Italy,,,,,
,,Luxembourg,,,,,
,,Monaco,,,,,
,,Netherlands,,,,,
,,Norway,,,,,
,,Portugal,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,United Kingdom,,,,,
,,Yugoslavia,,,,,
,,Austria,,,,,
,,Belgium,,,,,
,,Finland,,,,,
,,France,,,,,
,,Germany,,,,,
,,Ireland,,,,,
,,Italy,,,,,
,,Luxembourg,,,,,
,,Monaco,,,,,
,,Netherlands,,,,,
,,Norway,,,,,
,,Portugal,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,United Kingdom,,,,,
,,Yugoslavia,,,,,
,,Belgium,,,,,
,,Finland,,,,,
,,France,,,,,
,,Germany,,,,,
,,Ireland,,,,,
,,Italy,,,,,
,,Luxembourg,,,,,
,,Monaco,,,,,
,,Netherlands,,,,,
,,Norway,,,,,
,,Portugal,,,,,
,,Spain,,,,,
,,Sweden,,,,,
,,Switzerland,,,,,
,,United Kingdom,,,,,
,,Yugoslavia,,,,,
,,Belgium,,,,,
,,France,,,,,
,,Germany,,,,,
,,Ireland,,,,,
,,Italy,,,,,
,,Luxembourg,,,,,
,,Monaco,,,,,
,,Netherlands,,,,,
,,Spain,,,,,
,,Switzerland,,,,,
