Year,Country,Song,Artist,FlagURL
1956,Switzerland,Refrain,Lys Assia,https://flagcdn.com/h40/ch.png
1957,Netherlands,Net als toen,Corry Brokken,https://flagcdn.com/h40/nl.png
1958,France,"Dors, mon amour",André Claveau,https://flagcdn.com/h40/fr.png
1959,Netherlands,Een beetje,Teddy Scholten,https://flagcdn.com/h40/nl.png
1960,France,Tom Pillibi,Jacqueline Boyer,https://flagcdn.com/h40/fr.png
1961,Luxembourg,Nous les amoureux,Jean-Claude Pascal,https://flagcdn.com/h40/lu.png
1962,France,Un premier amour,Isabelle Aubret,https://flagcdn.com/h40/fr.png
1963,Denmark,Dansevise,Grethe & Jørgen Ingmann,https://flagcdn.com/h40/dk.png
1964,Italy,Non ho l'età,Gigliola Cinquetti,https://flagcdn.com/h40/it.png
1965,Luxembourg,"Poupée de cire, poupée de son",France Gall,https://flagcdn.com/h40/lu.png
1966,Austria,Merci Chérie,Udo Jürgens,https://flagcdn.com/h40/at.png
1967,United Kingdom,Puppet on a String,Sandie Shaw,https://flagcdn.com/h40/gb.png
1968,Spain,"La, la, la",Massiel,https://flagcdn.com/h40/es.png
1969,Spain,Vivo cantando,Salomé,https://flagcdn.com/h40/es.png
1969,United Kingdom,Boom Bang-a-Bang,Lulu,https://flagcdn.com/h40/gb.png
1969,Netherlands,De troubadour,Lenny Kuhr,https://flagcdn.com/h40/nl.png
1969,France,"Un jour, un enfant",Frida Boccara,https://flagcdn.com/h40/fr.png
1970,Ireland,All Kinds of Everything,Dana,https://flagcdn.com/h40/ie.png
1971,Monaco,"Un banc, un arbre, une rue",Séverine,https://flagcdn.com/h40/mc.png
1972,Luxembourg,Après toi,Vicky Leandros,https://flagcdn.com/h40/lu.png
1973,Luxembourg,Tu te reconnaîtras,Anne-Marie David,https://flagcdn.com/h40/lu.png
1974,Sweden,Waterloo,ABBA,https://flagcdn.com/h40/se.png
1975,Netherlands,Ding-a-dong,Teach-In,https://flagcdn.com/h40/nl.png
1976,United Kingdom,Save Your Kisses for Me,Brotherhood of Man,https://flagcdn.com/h40/gb.png
1977,France,L'oiseau et l'enfant,Marie Myriam,https://flagcdn.com/h40/fr.png
1978,Israel,A-Ba-Ni-Bi,Izhar Cohen & Alphabeta,https://flagcdn.com/h40/il.png
1979,Israel,Hallelujah,Gali Atari & Milk and Honey,https://flagcdn.com/h40/il.png
1980,Ireland,What's Another Year,Johnny Logan,https://flagcdn.com/h40/ie.png
1981,United Kingdom,Making Your Mind Up,Bucks Fizz,https://flagcdn.com/h40/gb.png
1982,Germany,Ein bißchen Frieden,Nicole,https://flagcdn.com/h40/de.png
1983,Luxembourg,Si la vie est cadeau,Corinne Hermès,https://flagcdn.com/h40/lu.png
1984,Sweden,Diggi-Loo Diggi-Ley,Herreys,https://flagcdn.com/h40/se.png
1985,Norway,La det swinge,Bobbysocks,https://flagcdn.com/h40/no.png
1986,Belgium,J'aime la vie,Sandra Kim,https://flagcdn.com/h40/be.png
